station_code,station_id,station_macro,sector,ware,side,role,owner,stock,inbound,outbound,net,allocation,price_cr,price_avg,alloc_value_cr,fill_alloc,s,m_model,a_model,fill_model,cohort,denominator,s_model,residual,cohort_m_fit,cohort_a_fit,cohort_n_offers,cohort_n_distinct_fills,cohort_bin_rmse,confidence
FMT-434,[0x32d3a],station_gen_factory_base_01_macro,Neptune,terranmre,buy,food,terran,0.0,0.0,0.0,0.0,928.8,75.0,54.0,50155.2,0.0,1.0,1.0,0.006,0.0,main/ration,allocation,0.999852,0.000148,0.995,0.006,2362,1556,0.009391,on-model
FNI-473,[0xa0c88],station_gen_factory_base_01_macro,Void of Opportunity,medicalsupplies,buy,food,teladi,0.0,0.0,0.0,0.0,1215.0,89.0,66.0,80190.0,0.0,1.0,1.0,0.006,0.0,main/ration,allocation,0.999852,0.000148,0.995,0.006,2362,1556,0.009391,on-model
FNI-473,[0xa0c88],station_gen_factory_base_01_macro,Void of Opportunity,nostropoil,buy,food,teladi,0.0,0.0,0.0,0.0,1026.0,47.0,34.0,34884.0,0.0,1.0,1.0,0.006,0.0,main/ration,allocation,0.999852,0.000148,0.995,0.006,2362,1556,0.009391,on-model
FNJ-425,[0x6b26d],station_gen_factory_base_01_macro,Pious Mists II,medicalsupplies,buy,food,paranid,1038.0,0.0,0.0,1038.0,2754.0,76.45,66.0,181764.0,0.376906,0.454348,1.0,0.006,0.376906,main/ration,allocation,0.454869,-0.000521,0.995,0.006,2362,1556,0.009391,on-model
FNJ-425,[0x6b26d],station_gen_factory_base_01_macro,Pious Mists II,sojahusk,buy,food,paranid,0.0,1580.0,0.0,1580.0,2937.6,32.13,32.0,94003.2,0.537854,0.01,1.0,0.006,0.537854,main/ration,allocation,0.01046,-0.00046,0.995,0.006,2362,1556,0.009391,on-model
FNX-208,[0x6d46c],station_gen_factory_base_01_macro,Wretched Skies X,medicalsupplies,buy,food,paranid,0.0,0.0,0.0,0.0,534.6,89.0,66.0,35283.6,0.0,1.0,1.0,0.006,0.0,main/ration,allocation,0.999852,0.000148,0.995,0.006,2362,1556,0.009391,on-model
FPJ-449,[0x80f64],station_gen_factory_base_01_macro,Brennan's Triumph,medicalsupplies,buy,food,pioneers,1215.0,0.0,0.0,1215.0,1944.0,60.56,66.0,128304.0,0.625,-0.236522,1.0,0.006,0.625,main/ration,allocation,-0.237279,0.000758,0.995,0.006,2362,1556,0.009391,on-model
FPJ-449,[0x80f64],station_gen_factory_base_01_macro,Brennan's Triumph,terranmre,buy,food,pioneers,0.0,0.0,0.0,0.0,1857.6,75.0,54.0,100310.4,0.0,1.0,1.0,0.006,0.0,main/ration,allocation,0.999852,0.000148,0.995,0.006,2362,1556,0.009391,on-model
FPL-539,[0x58b17],station_gen_factory_base_01_macro,Tharka's Ravine VIII,cheltmeat,buy,food,freesplit,25.0,0.0,0.0,25.0,734.4,72.0,51.0,37454.4,0.034041,1.0,1.0,0.006,0.034041,main/ration,allocation,0.993409,0.006591,0.995,0.006,2362,1556,0.009391,on-model
FPL-539,[0x58b17],station_gen_factory_base_01_macro,Tharka's Ravine VIII,medicalsupplies,buy,food,freesplit,0.0,0.0,0.0,0.0,1944.0,89.0,66.0,128304.0,0.0,1.0,1.0,0.006,0.0,main/ration,allocation,0.999852,0.000148,0.995,0.006,2362,1556,0.009391,on-model
